Aika[s]	Askeleet	Voimamittaus[V/V]	Siirtymä[mm]	Sellipaine-mitattu[kPa]	Huokosvedenpaine[kPa]	Vaaka[g]	Voimamittaus[kg]	Nousunopeus[mm/min]	Kompensoitu siirtymä[mm]	Suhteellinen kokoonpuristuma[%]	Suhteellinen tilavuuden muutos[%]	Maksimileikkausjännitys[kPa]
583542,876967	60534,000000	-0,000948	19,508395	90,921087	6,027061	5,840000	48,229101	0,002000	19,447163	17,716282	0,028221	10,679975
583553,276163	60535,000000	-0,000947	19,508118	90,946729	6,035824	5,840000	48,177895	0,002000	19,447487	17,716577	0,028221	10,668668
583563,975923	60537,000000	-0,000948	19,508991	90,904228	5,996001	5,840000	48,236188	0,002000	19,448126	17,717160	0,028221	10,681475
583574,876359	60538,000000	-0,000948	19,509893	90,928184	5,992068	5,840000	48,253589	0,002000	19,448447	17,717452	0,028221	10,685223
583585,576138	60539,000000	-0,000947	19,509486	90,916600	6,002471	5,840000	48,214743	0,002000	19,448770	17,717746	0,028221	10,676668
583596,175941	60540,000000	-0,000949	19,510187	90,917349	5,987020	5,840000	48,272294	0,002000	19,449088	17,718036	0,028221	10,689331
583606,776081	60541,000000	-0,000947	19,509808	90,929772	5,982677	15,840000	48,209801	0,002000	19,449413	17,718332	0,076545	11,226380
583616,976247	60542,000000	-0,000948	19,510811	90,949879	6,002519	5,840000	48,248850	0,002000	19,449732	17,718623	0,028221	10,684066
583627,776817	60543,000000	-0,000947	19,510804	90,921635	6,017860	5,840000	48,195934	0,002000	19,450056	17,718918	0,028221	10,672350
583638,575882	60544,000000	-0,000948	19,511167	90,920137	5,993970	15,840000	48,264776	0,002000	19,450374	17,719207	0,076545	11,239014
583649,175991	60545,000000	-0,000947	19,511058	90,903289	6,021104	15,850000	48,202950	0,002000	19,450698	17,719503	0,076594	11,225210
583659,876424	60546,000000	-0,000948	19,512350	90,907094	5,986198	15,840000	48,232800	0,002000	19,451018	17,719794	0,076545	11,231423
583670,576281	60548,000000	-0,000949	19,512771	90,968547	5,995625	15,840000	48,275831	0,002000	19,451659	17,720378	0,076545	11,241392
583681,076332	60549,000000	-0,000948	19,512819	90,929531	6,008339	15,850000	48,250048	0,002000	19,451981	17,720672	0,076594	11,235962
583691,676877	60550,000000	-0,000949	19,513706	90,909235	6,024768	15,850000	48,276320	0,002000	19,452301	17,720963	0,076594	11,241971
583702,276101	60551,000000	-0,000948	19,513988	90,890789	6,013659	15,850000	48,220046	0,002000	19,452625	17,721258	0,076594	11,228832
583713,076498	60552,000000	-0,000949	19,514180	90,949918	6,002231	15,850000	48,285553	0,002000	19,452943	17,721548	0,076594	11,244063
583723,676557	60553,000000	-0,000948	19,514349	90,954534	6,023564	15,850000	48,225629	0,002000	19,453268	17,721844	0,076594	11,230088
583734,276465	60554,000000	-0,000949	19,514532	90,906781	5,977359	15,850000	48,268763	0,002000	19,453587	17,722134	0,076594	11,240110
583744,876961	60555,000000	-0,000947	19,514585	90,916746	6,008330	15,850000	48,206341	0,002000	19,453911	17,722430	0,076594	11,225567
583755,376200	60556,000000	-0,000949	19,515409	90,898471	6,012583	15,850000	48,279132	0,002000	19,454229	17,722719	0,076594	11,242417
583765,875949	60557,000000	-0,000947	19,515153	90,926496	6,007416	15,850000	48,214955	0,002000	19,454553	17,723015	0,076594	11,227504
583776,576263	60559,000000	-0,000948	19,516189	90,898655	6,004631	15,850000	48,246812	0,002000	19,455194	17,723599	0,076594	11,234795
583787,176639	60560,000000	-0,000949	19,516490	90,917880	5,999116	15,850000	48,300823	0,002000	19,455513	17,723889	0,076594	11,247335
583797,576073	60561,000000	-0,000948	19,516470	90,877661	5,982759	15,850000	48,256307	0,002000	19,455836	17,724184	0,076594	11,236971
583808,076262	60562,000000	-0,000949	19,517266	90,939906	6,045604	15,850000	48,279355	0,002000	19,456157	17,724475	0,076594	11,242240
583818,876334	60563,000000	-0,000948	19,517289	90,915846	6,004194	15,850000	48,226088	0,002000	19,456481	17,724771	0,076594	11,229834
583829,676341	60564,000000	-0,000949	19,517905	90,920341	5,999272	15,850000	48,297572	0,002000	19,456798	17,725060	0,076594	11,246404
583840,276448	60565,000000	-0,000948	19,517626	90,907436	6,000215	15,850000	48,240228	0,002000	19,457122	17,725355	0,076594	11,233085
583850,876289	60566,000000	-0,000949	19,518739	90,929755	5,984911	15,850000	48,270139	0,002000	19,457442	17,725647	0,076594	11,239914
583861,675852	60567,000000	-0,000947	19,518589	90,900664	6,040481	15,850000	48,204634	0,002000	19,457767	17,725942	0,076594	11,224679
583872,576800	60569,000000	-0,000949	19,519211	90,941352	6,025068	15,850000	48,278290	0,002000	19,458406	17,726524	0,076594	11,241754
583883,076131	60570,000000	-0,000949	19,519403	90,900353	6,037789	15,850000	48,294947	0,002000	19,458726	17,726816	0,076594	11,245609
583893,576313	60571,000000	-0,000948	19,519575	90,924615	6,017567	15,850000	48,254253	0,002000	19,459050	17,727111	0,076594	11,236112
583904,175840	60572,000000	-0,000949	19,520268	90,925595	5,991863	15,850000	48,316153	0,002000	19,459368	17,727401	0,076594	11,250440
583914,476736	60573,000000	-0,000948	19,520150	90,939507	6,043135	15,850000	48,264220	0,002000	19,459692	17,727696	0,076594	11,238362
583924,976771	60574,000000	-0,000949	19,520975	90,925547	6,049897	15,850000	48,295561	0,002000	19,460011	17,727987	0,076594	11,245558
583935,876426	60575,000000	-0,000948	19,521048	90,923047	6,035953	15,850000	48,233181	0,002000	19,460336	17,728283	0,076594	11,231024
583946,576767	60576,000000	-0,000949	19,521581	90,921989	6,034615	15,850000	48,302254	0,002000	19,460654	17,728572	0,076594	11,247042
583957,075858	60577,000000	-0,000948	19,521646	90,951114	6,011341	15,850000	48,238454	0,002000	19,460978	17,728868	0,076594	11,232179
583967,976855	60578,000000	-0,000948	19,522544	90,920738	6,006209	15,850000	48,260816	0,002000	19,461298	17,729159	0,076594	11,237275
583978,475980	60580,000000	-0,000949	19,522743	90,941395	6,011166	15,850000	48,275895	0,002000	19,461940	17,729744	0,076594	11,240762
583988,876576	60581,000000	-0,000949	19,522759	90,933473	6,015337	15,850000	48,279010	0,002000	19,462261	17,730037	0,076594	11,241485
583999,476288	60582,000000	-0,000949	19,524042	90,938852	6,043514	15,850000	48,302365	0,002000	19,462581	17,730328	0,076594	11,246766
584009,876666	60583,000000	-0,000948	19,523792	90,947962	6,048170	15,860000	48,252832	0,002000	19,462905	17,730623	0,076642	11,235843
584020,476918	60584,000000	-0,000950	19,523705	90,938456	6,037385	15,860000	48,321887	0,002000	19,463223	17,730913	0,076642	11,251933
584031,276792	60585,000000	-0,000948	19,523968	90,939470	6,023127	15,850000	48,264404	0,002000	19,463547	17,731208	0,076594	11,237936
584041,975945	60586,000000	-0,000949	19,524605	90,936050	6,014663	15,850000	48,302312	0,002000	19,463867	17,731499	0,076594	11,246684
584052,376012	60587,000000	-0,000948	19,525087	90,919010	6,007915	15,850000	48,240847	0,002000	19,464191	17,731795	0,076594	11,232314
